Order ID,City,Dark Store ID,Product Category,Delivery Time,Traffic Level,Delivery Partner Rating,Customer Rating,Inventory Wastage %,Cancellation Status,Stock Availability,Delivery Distance,Order Value,Peak Hour,Weather Condition
ORD1001,Delhi,DS-DL-01,Fruits & Vegetables,32,Low,4.8,3.6,2.7,No,In Stock,3.0,2269,Yes,Clear
ORD1002,Mumbai,DS-MH-02,Baby Care,34,Medium,4.8,4.3,1.6,No,In Stock,3.5,1081,No,Cloudy
ORD1003,Chennai,DS-CH-01,Beverages,31,Medium,3.9,3.5,2.8,No,In Stock,9.3,522,No,Cloudy
ORD1004,Pune,DS-PN-03,Pet Supplies,37,High,4.5,3.7,4.9,No,Low Stock,8.8,1756,No,Rainy
ORD1005,Pune,DS-PN-02,Personal Care,30,Low,4.6,4.2,1.3,No,In Stock,5.8,1202,No,Rainy
ORD1006,Bangalore,DS-BL-04,Frozen Food,18,Low,4.7,4.8,5.6,No,In Stock,9.2,1488,Yes,Cloudy
ORD1007,Hyderabad,DS-HY-03,Household,30,Medium,3.9,4.1,2.1,No,In Stock,9.1,1835,No,Rainy
ORD1008,Chennai,DS-CH-01,Snacks,37,Medium,3.7,2.7,3.7,No,In Stock,4.5,2117,Yes,Clear
ORD1009,Pune,DS-PN-03,Grocery,41,Medium,4.0,2.9,1.6,No,In Stock,7.5,1278,Yes,Cloudy
ORD1010,Bangalore,DS-BL-01,Fruits & Vegetables,55,High,4.3,3.7,3.1,Yes,In Stock,1.2,1686,Yes,Rainy
ORD1011,Pune,DS-PN-01,Grocery,30,Low,3.6,4.3,4.1,No,In Stock,5.3,2451,Yes,Clear
ORD1012,Bangalore,DS-BL-03,Baby Care,53,High,4.6,3.1,3.7,No,In Stock,5.1,1215,No,Rainy
ORD1013,Hyderabad,DS-HY-01,Personal Care,20,Low,3.8,4.9,4.4,No,In Stock,3.1,2188,Yes,Rainy
ORD1014,Hyderabad,DS-HY-03,Snacks,53,High,3.8,2.6,2.7,Yes,In Stock,7.6,603,No,Rainy
ORD1015,Mumbai,DS-MH-04,Personal Care,48,High,4.2,3.1,2.1,No,In Stock,5.0,2454,Yes,Rainy
ORD1016,Delhi,DS-DL-01,Baby Care,48,High,4.2,3.8,4.6,Yes,In Stock,4.5,2063,Yes,Rainy
ORD1017,Pune,DS-PN-02,Baby Care,30,Medium,3.8,3.6,3.9,No,In Stock,3.8,405,No,Rainy
ORD1018,Ahmedabad,DS-AH-03,Baby Care,25,Low,4.5,4.4,1.5,No,Low Stock,3.2,362,Yes,Rainy
ORD1019,Delhi,DS-DL-04,Pet Supplies,25,Medium,4.5,4.5,2.1,No,In Stock,6.8,2072,No,Cloudy
ORD1020,Chennai,DS-CH-01,Grocery,33,Medium,4.3,3.6,2.4,No,In Stock,3.2,1367,Yes,Clear
ORD1021,Bangalore,DS-BL-04,Baby Care,38,High,3.9,3.8,4.0,No,In Stock,3.5,1062,Yes,Cloudy
ORD1022,Chennai,DS-CH-01,Fruits & Vegetables,23,Medium,4.5,4.9,1.2,No,In Stock,2.2,1272,No,Clear
ORD1023,Bangalore,DS-BL-04,Baby Care,41,High,4.9,3.3,4.3,No,In Stock,2.3,722,Yes,Clear
ORD1024,Mumbai,DS-MH-03,Personal Care,45,High,3.9,2.7,4.1,No,Low Stock,4.7,833,Yes,Cloudy
ORD1025,Hyderabad,DS-HY-01,Snacks,56,High,4.7,3.8,4.2,No,In Stock,2.0,358,Yes,Rainy
ORD1026,Ahmedabad,DS-AH-01,Dairy,41,High,4.7,3.8,4.9,No,In Stock,4.6,1341,No,Cloudy
ORD1027,Delhi,DS-DL-03,Personal Care,22,Medium,3.7,5.0,1.7,Yes,Out of Stock,2.0,1979,No,Cloudy
ORD1028,Chennai,DS-CH-03,Personal Care,34,Medium,3.9,4.2,1.0,Yes,Out of Stock,7.5,1007,Yes,Foggy
ORD1029,Chennai,DS-CH-02,Beverages,35,High,4.6,3.8,2.2,No,In Stock,4.6,1411,No,Cloudy
